sitename,city,lat,lon,trait_description,cultivar,days_to_flowering,gdd_to_flowering,date_of_flowering
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI181899,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI542718,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641830,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641836,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI218112,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI253986,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535795,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI540518,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI550604,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI655972,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI656015,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI180348,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI181083,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535783,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI576399,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI593916,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI92270,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI157804,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI179749,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI365512,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641817,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI656065,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI534165,72.0,1119.0,2014-07-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535794,72.0,1119.0,2014-07-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641807,72.5,1119.0,2014-07-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535796,72.5,1119.0,2014-07-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI656035,73.0,1134.0,2014-07-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641862,73.5,1134.0,2014-07-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI154988,74.0,1150.0,2014-07-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI564163,74.0,1150.0,2014-07-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641821,74.0,1150.0,2014-07-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI213900,74.5,1150.0,2014-07-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI35038,74.5,1150.0,2014-07-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI561840,74.5,1150.0,2014-07-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI196586,75.0,1164.0,2014-07-20
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI297155,75.0,1164.0,2014-07-20
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535792,75.0,1164.0,2014-07-20
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI655981,75.0,1164.0,2014-07-20
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI527045,76.0,1180.0,2014-07-21
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI52606,76.5,1180.0,2014-07-21
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI533902,76.5,1180.0,2014-07-21
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI642998,76.5,1180.0,2014-07-21
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI144134,77.0,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152828,77.0,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI181080,77.0,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI197542,77.0,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI526905,77.0,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI63715,77.0,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI19770,77.5,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641810,77.5,1195.0,2014-07-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641815,78.0,1212.0,2014-07-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641860,78.0,1212.0,2014-07-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI145633,78.5,1212.0,2014-07-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI195754,78.5,1212.0,2014-07-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI534120,78.5,1212.0,2014-07-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI300119,79.0,1230.0,2014-07-24
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI170787,80.0,1247.0,2014-07-25
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI22913,80.0,1247.0,2014-07-25
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329435,80.0,1247.0,2014-07-25
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535793,80.0,1247.0,2014-07-25
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI586499,80.5,1247.0,2014-07-25
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI196598,81.0,1263.0,2014-07-26
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI226096,81.0,1263.0,2014-07-26
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI175919,82.0,1281.0,2014-07-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI176766,82.0,1281.0,2014-07-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI533792,82.0,1281.0,2014-07-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641829,82.0,1281.0,2014-07-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641835,82.0,1281.0,2014-07-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI302252,83.0,1300.0,2014-07-28
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535785,83.0,1300.0,2014-07-28
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641834,83.0,1300.0,2014-07-28
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI655978,84.0,1316.0,2014-07-29
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI586537,85.5,1330.0,2014-07-30
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI533998,85.5,1330.0,2014-07-30
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641824,85.5,1330.0,2014-07-30
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI146890,86.5,1345.0,2014-07-31
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI569090,86.5,1345.0,2014-07-31
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641850,86.5,1345.0,2014-07-31
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI655983,86.5,1345.0,2014-07-31
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI155760,87.5,1360.0,2014-08-01
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI566819,88.5,1374.0,2014-08-02
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI656026,88.5,1374.0,2014-08-02
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI156890,89.0,1386.0,2014-08-03
