sitename,city,lat,lon,trait_description,cultivar,days_to_flowering,gdd_to_flowering,date_of_flowering
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI250583,89.0,1386.0,2014-08-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI562717,89.0,1386.0,2014-08-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI586541,89.0,1386.0,2014-08-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641807,89.0,1386.0,2014-08-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI147224,91.0,1415.0,2014-08-05
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI196583,91.0,1415.0,2014-08-05
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641892,91.0,1415.0,2014-08-05
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI300118,92.5,1432.0,2014-08-06
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI586435,92.5,1432.0,2014-08-06
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI145619,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI145626,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI251672,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI330199,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI653616,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI653617,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI653616,93.0,1449.0,2014-08-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI576401,94.0,1466.0,2014-08-08
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152651,94.5,1466.0,2014-08-08
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI255744,94.5,1466.0,2014-08-08
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI651495,94.5,1466.0,2014-08-08
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI651496,94.5,1466.0,2014-08-08
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",RIO,94.5,1466.0,2014-08-08
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI229841,96.0,1496.0,2014-08-10
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI291246,97.0,1511.0,2014-08-11
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI505735,97.0,1511.0,2014-08-11
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI651491,97.0,1511.0,2014-08-11
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI221548,99.5,1544.0,2014-08-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI569244,99.5,1544.0,2014-08-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI651493,101.0,1572.0,2014-08-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152694,103.0,1604.0,2014-08-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI145632,104.0,1621.0,2014-08-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152965,104.0,1621.0,2014-08-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152971,104.0,1621.0,2014-08-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI217691,104.0,1621.0,2014-08-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI586443,104.0,1621.0,2014-08-18
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152771,105.0,1639.0,2014-08-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152862,105.0,1639.0,2014-08-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152966,105.0,1639.0,2014-08-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI562730,105.0,1639.0,2014-08-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641909,105.0,1639.0,2014-08-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI651497,105.0,1639.0,2014-08-19
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI257599,107.0,1674.0,2014-08-21
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329338,107.0,1674.0,2014-08-21
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI167093,108.0,1693.0,2014-08-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI643008,108.0,1693.0,2014-08-22
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI154944,109.0,1712.0,2014-08-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI303658,109.0,1712.0,2014-08-23
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI257600,110.0,1730.0,2014-08-24
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329699,110.0,1730.0,2014-08-24
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI337689,110.0,1730.0,2014-08-24
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI511355,110.0,1730.0,2014-08-24
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI563032,110.0,1730.0,2014-08-24
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152923,113.0,1770.0,2014-08-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152967,113.0,1770.0,2014-08-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329466,113.0,1770.0,2014-08-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI583832,113.0,1770.0,2014-08-27
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329864,115.0,1800.0,2014-08-29
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152816,115.0,1800.0,2014-08-29
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI273969,115.0,1800.0,2014-08-29
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329440,115.0,1800.0,2014-08-29
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI585406,115.0,1800.0,2014-08-29
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152961,118.0,1853.0,2014-09-01
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI276837,120.0,1890.0,2014-09-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152860,120.0,1890.0,2014-09-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI255239,120.0,1890.0,2014-09-03
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI157033,122.0,1926.0,2014-09-05
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI643016,122.0,1926.0,2014-09-05
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI563295,124.0,1960.0,2014-09-07
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329473,127.0,2002.0,2014-09-10
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI154987,129.0,2034.0,2014-09-12
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329333,129.0,2034.0,2014-09-12
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI330185,129.0,2034.0,2014-09-12
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152751,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI154750,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI154846,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI157035,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329465,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI329865,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI330167,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI330195,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI330796,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI455301,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI563222,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI569097,134.0,2102.0,2014-09-17
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI569452,134.0,2102.0,2014-09-17
